-116.258562	-139.311280	-36.524850	-113.285670	-8.902314
-113.191076	-139.336695	-104.326827	-257.139624	-7.447061
-62.199756	-78.086562	-45.665595	-117.496185	-4.050309
-34.101865	-44.679164	5.216362	14.839878	1.223051
-12.922051	-43.930337	27.092945	98.073797	8.198277
61.705348	41.845866	54.010081	115.944240	16.682295
104.285255	102.243043	90.318856	186.226367	26.529465
65.384842	54.319720	59.069697	128.116201	37.677988
1.348354	-28.851928	-23.489363	-60.335797	50.103196
-15.293398	-59.129980	-88.422925	-226.512397	63.689376
6.187076	-26.313984	-75.108246	-182.709944	78.129385
39.245538	12.167271	-7.108727	-10.870938	92.942150
68.933932	44.200451	35.696632	101.822802	107.582741
119.646178	105.746527	52.273073	108.792490	121.566072
173.919421	166.615716	71.703279	168.486243	134.561711
162.590280	140.553302	65.178462	179.864851	146.445003
92.686266	56.935594	-1.523810	17.164622	157.268374
33.573936	-5.149532	-80.912544	-187.495853	167.134028
34.104146	-2.627812	-104.455946	-234.951901	176.041234
58.075445	33.275475	-56.010031	-67.717859	183.825064
70.371322	46.480051	-11.041030	44.962972	190.217909
98.609610	59.429312	19.557331	85.669130	194.962041
157.045164	123.003987	50.699398	113.158905	197.906977
152.047399	120.849265	63.422655	162.863384	199.075696
86.285233	47.970212	7.279545	45.536989	198.668357
18.628073	-24.454655	-79.125803	-159.796717	196.965008
0.655524	-39.167303	-132.832936	-286.663351	194.176138
23.018791	-5.794804	-91.541084	-156.958251	190.358205
55.907898	30.496867	-14.839636	34.718078	185.452534
84.512935	64.765840	33.910753	118.964419	179.399628
135.752144	127.266933	56.363276	114.800952	172.248422
176.095810	172.647577	102.144600	195.817602	164.222919
122.989418	101.247770	62.863558	133.475250	155.729497
25.376189	-20.896437	-40.431191	-75.921079	147.266211
-22.831288	-63.755729	-124.320109	-267.662632	139.240786
19.274814	-19.222880	-90.557507	-188.157244	131.818685
49.408464	13.952359	-15.019595	-5.074954	124.926177
54.190290	25.845491	30.832165	87.543075	118.380145
76.774517	50.827783	49.282663	97.672948	112.015705
122.129167	100.422180	90.007731	183.823719	105.753905
107.093355	82.582461	87.581757	167.458996	99.631898
23.126052	-17.248428	3.101555	3.963203	93.782490
-63.709530	-126.194954	-124.662956	-204.612293	88.325204
-72.028933	-122.138585	-167.564360	-290.496737	83.220071
-49.375331	-94.297482	-95.881544	-114.066220	78.210639
-14.545841	-64.651410	-27.435899	24.525548	72.910399
24.089263	-22.791149	24.602466	97.505396	66.962220
90.247561	54.944106	59.720367	116.294431	60.180056
92.495338	58.594725	82.715673	197.595964	52.631796
24.915628	-21.328148	12.310482	66.946626	44.629364
-51.399042	-103.421805	-81.138365	-147.774396	36.598628
-57.716979	-100.862041	-117.903571	-260.479559	28.890385
-41.769539	-84.616168	-78.297836	-136.679620	21.665534
-45.025533	-85.277182	-34.437068	0.243307	14.913003
